index,source,target
0,装備無し,
1,レザーライトアーム,Brassards Cuir
2,チェーンアーム,Brassards Chainmail
3,ハンターアーム,Brassards Hunter's
4,ハンターガード,Gardes Hunter's
5,ボーンアーム,Brassards Os
6,ボーンガード,Gardes Os
7,ランポスアーム,Brassards Velociprey
8,ランポスガード,Gardes Velociprey
9,バトルアーム,Brassards Bataille
10,バトルガード,Gardes Bataille
11,ランゴアーム,Brassards Vespoid
12,ランゴガード,Gardes Vespoid
13,タロスアーム,Brassards Hornetaur
14,タロスガード,Gardes Hornetaur
15,ハイメタアーム,
16,ハイメタガード,
17,ゲネポスアーム,Brassards Genprey
18,ゲネポスガード,Gardes Genprey
19,クックアーム,Brassards Kut-Ku
20,クックガード,Gardes Kut-Ku
21,イーオスアーム,Brassards Ioprey
22,イーオスガード,Gardes Ioprey
23,ゲリョスアーム,Brassards Gypceros
24,ゲリョスガード,Gardes Gypceros
25,ガレオスアーム,Brassards Cephalos
26,ガレオスガード,Gardes Cephalos
27,スティールアーム,Brassards Acier
28,レイアアーム,Brassards Rathian
29,レイアガード,Gardes Rathian
30,フルフルアーム,Brassards Khezu
31,フルフルガード,Gardes Khezu
32,レウスアーム,Brassards Rathalos
33,レウスガード,Gardes Rathalos
34,ガノスアーム,Brassards Plesioth
35,ガノスガード,Gardes Plesioth
36,キングロブスタアーム,
37,キングロブスタガード,
38,バサルアーム,Brassards Basarios
39,バサルガード,Gardes Basarios
40,ディアブロアーム,Brassards Diablos
41,ディアブロガード,Gardes Diablos
42,モノブロスアーム,Brassards Monoblos
43,モノブロスガード,Gardes Monoblos
44,グラビドアーム,Brassards Gravios
45,グラビドガード,Gardes Gravios
46,クロオビアーム,
47,モスパンチ,
48,マカルパスリーブ,
49,ランポスーツハンド,
50,ゲネポスーツハンド,
51,イーオスーツハンド,
52,忍の篭手・陽,
53,忍の篭手・陰,
54,ガーディアンアーム,Brassards Gardien
55,ガーディアンガード,Gardes Gardien
56,ヘルパーカフス,
57,ヒーラーカフス,
58,ガルルガアーム,Brassards Garuga
59,ガルルガガード,Gardes Garuga
60,暁丸【篭手】,
61,曙丸【篭手】,
62,凛【篭手】,
63,艶【篭手】,
64,ドラゴンクロウ,
65,ドラゴンフィスト,
66,レザーライトＵアーム,Brassards Cuir U
67,チェーンＵアーム,Brassards Chainmail U
68,ハンターＵアーム,Brassards Hunter's U
69,ハンターＵガード,Gardes Hunter's U
70,ボーンＵアーム,Brassards Os U
71,ボーンＵガード,Gardes Os U
72,ギアノスアーム,Brassards Giaprey
73,ギアノスガード,Gardes Giaprey
74,バトルＵアーム,Brassards Bataille U
75,バトルＵガード,Gardes Bataille U
76,ランゴＵアーム,Brassards Vespoid U
77,ランゴＵガード,Gardes Vespoid U
78,タロスＵアーム,Brassards Hornetaur U
79,タロスＵガード,Gardes Hornetaur U
80,ハイメタＵアーム,
81,ハイメタＵガード,
82,ゲネポスＵアーム,Brassards Genprey U
83,ゲネポスＵガード,Gardes Genprey U
84,クックＵアーム,Brassards Kut-Ku U
85,クックＵガード,Gardes Kut-Ku U
86,イーオスＵアーム,Brassards Ioprey U
87,イーオスＵガード,Gardes Ioprey U
88,ゲリョスＵアーム,Brassards Gypceros U
89,ゲリョスＵガード,Gardes Gypceros U
90,ガレオスＵアーム,Brassards Cephalos U
91,ガレオスＵガード,Gardes Cephalos U
92,スティールＵアーム,Brassards Acier U
93,リオハートアーム,Brassards Rath
94,リオハートガード,Gardes Rath
95,フルフルＵアーム,Brassards Khezu U
96,フルフルＵガード,Gardes Khezu U
97,リオソウルアーム,Brassards Rath
98,リオソウルガード,Gardes Rath
99,ガノスＵアーム,Brassards Plesioth U
100,ガノスＵガード,Gardes Plesioth U
101,バサルＵアーム,Brassards Basarios U
102,バサルＵガード,Gardes Basarios U
103,ディアブロＵアーム,Brassards Diablos U
104,ディアブロＵガード,Gardes Diablos U
105,モノデビルアーム,Brassards Monodevil
106,モノデビルガード,Gardes Monodevil
107,グラビドＵアーム,Brassards Gravios U
108,グラビドＵガード,Gardes Gravios U
109,忍の篭手・空,
110,忍の篭手・海,
111,ガーディアンＵアーム,Brassards Gardien U
112,ガーディアンＵガード,Gardes Gardien U
113,ヘルパーＵカフス,
114,ヒーラーＵカフス,
115,暁丸・皇【篭手】,
116,曙丸・皇【篭手】,
117,凛・皇【篭手】,
118,艶・皇【篭手】,
119,ミラバルカンクロウ,
120,ミラバルカンフィスト,
121,ゴールドルナアーム,
122,ゴールドルナガード,
123,シルバーソルアーム,
124,シルバーソルガード,
125,レザーライトＳアーム,Brassards Cuir S
126,チェーンＳアーム,Brassards Chainmail S
127,ハンターＳアーム,Brassards Hunter's S
128,ハンターＳガード,Gardes Hunter's S
129,ボーンＳアーム,Brassards Os S
130,ボーンＳガード,Gardes Os S
131,ランポスＳアーム,Brassards Velociprey S
132,ランポスＳガード,Gardes Velociprey S
133,バトルＳアーム,Brassards Bataille S
134,バトルＳガード,Gardes Bataille S
135,ランゴＳアーム,Brassards Vespoid S
136,ランゴＳガード,Gardes Vespoid S
137,タロスＳアーム,Brassards Hornetaur S
138,タロスＳガード,Gardes Hornetaur S
139,ハイメタＳアーム,
140,ハイメタＳガード,
141,ゲネポスＳアーム,Brassards Genprey S
142,ゲネポスＳガード,Gardes Genprey S
143,クックＳアーム,Brassards Kut-Ku S
144,クックＳガード,Gardes Kut-Ku S
145,イーオスＳアーム,Brassards Ioprey S
146,イーオスＳガード,Gardes Ioprey S
147,ゲリョスＳアーム,Brassards Gypceros S
148,ゲリョスＳガード,Gardes Gypceros S
149,ガレオスＳアーム,Brassards Cephalos S
150,ガレオスＳガード,Gardes Cephalos S
151,スティールＳアーム,Brassards Acier S
152,レイアＳアーム,Brassards Rathian S
153,レイアＳガード,Gardes Rathian S
154,フルフルＳアーム,Brassards Khezu S
155,フルフルＳガード,Gardes Khezu S
156,レウスＳアーム,Brassards Rathalos S
157,レウスＳガード,Gardes Rathalos S
158,ガノスＳアーム,Brassards Plesioth S
159,ガノスＳガード,Gardes Plesioth S
160,バサルＳアーム,Brassards Basarios S
161,バサルＳガード,Gardes Basarios S
162,ディアブロＳアーム,Brassards Diablos S
163,ディアブロＳガード,Gardes Diablos S
164,モノブロスＳアーム,Brassards Monoblos S
165,モノブロスＳガード,Gardes Monoblos S
166,グラビドＳアーム,Brassards Gravios S
167,グラビドＳガード,Gardes Gravios S
168,忍の篭手・天,
169,忍の篭手・地,
170,ギルドガードグラブ紅,
171,ギルドガードカフス紅,
172,ギルドガードグラブ紅,
173,ギルドガードカフス紅,
174,暁丸・覇【篭手】,
175,曙丸・覇【篭手】,
176,凛・覇【篭手】,
177,艶・覇【篭手】,
178,ドラゴンＳクロウ,
179,ドラゴンＳフィスト,
180,ザザミアーム,Brassards Hermitaur
181,ザザミガード,Gardes Hermitaur
182,ザザミＵアーム,Brassards Hermitaur U
183,ザザミＵガード,Gardes Hermitaur U
184,ザザミＳアーム,Brassards Hermitaur S
185,ザザミＳガード,Gardes Hermitaur S
186,コンガアーム,Brassards Conga
187,コンガガード,Gardes Conga
188,コンガＵアーム,Brassards Conga U
189,コンガＵガード,Gardes Conga U
190,コンガＳアーム,Brassards Conga S
191,コンガＳガード,Gardes Conga S
192,ブランゴアーム,Brassards Blango
193,ブランゴガード,Gardes Blango
194,ブランゴＵアーム,Brassards Blango U
195,ブランゴＵガード,Gardes Blango U
196,ブランゴＳアーム,Brassards Blango S
197,ブランゴＳガード,Gardes Blango S
198,ギザミアーム,Brassards Ceanataur
199,ギザミガード,Gardes Ceanataur
200,ギザミＵアーム,Brassards Ceanataur U
201,ギザミＵガード,Gardes Ceanataur U
202,ギザミＳアーム,Brassards Ceanataur S
203,ギザミＳガード,Gardes Ceanataur S
204,キリンアームロング,
205,キリングローブ,
206,キリンＳアームロング,
207,キリンＳグローブ,
208,クシャナハトゥー,
209,クシャナマカーン,
210,ミヅハ【大袖】,
211,トヨタマ【大袖】,
212,エンプレスアーム,Brassards Impératrice
213,エンプレスガード,Gardes Impératrice
214,金剛【篭手】,
215,不動【篭手】,
216,カイザーアーム,
217,カイザーガード,
218,夜叉【御手】,
219,修羅【御手】,
220,金色ノ篭手,
221,黒子ノ篭手,
222,ミラルーツクロウ,
223,ミラルーツフィスト,
224,クロオビＳアーム,
225,ギアノスーツハンド,
226,ガブラスーツハンド,
227,ギルドナイトグラブ,
228,ギルドナイトカフス,
229,メイドカフス,
230,プライベートカフス,
231,ギルドガードグラブ蒼,
232,ギルドガードカフス蒼,
233,ギルドガードグラブ蒼,
234,ギルドガードカフス蒼,
235,Ｆアーム00,
236,Ｆアーム01,
237,破龍の篭手,
238,ヒプノアーム,Brassards Hypnoc
239,ヒプノガード,Gardes Hypnoc
240,ヒプノＵアーム,Brassards Hypnoc U
241,ヒプノＵガード,Gardes Hypnoc U
242,ラヴァアーム,Brassards Lavasioth
243,ラヴァガード,Gardes Lavasioth
244,ラヴァＳアーム,Brassards Lavasioth S
245,ラヴァＳガード,Gardes Lavasioth S
246,ギアノスＵアーム,Brassards Giaprey U
247,ギアノスＵガード,Gardes Giaprey U
248,しろねこ服アーム,
249,くろねこ服アーム,
250,きんねこ服アーム,
251,ゴシックアーム,Brassards Gothic
252,ゴシックＦアーム,Brassards Gothic F
253,ベイルガントレット,
254,コムラドアーム【猩】,Brassards Camarade [猩]
255,ジストレルアーム,Brassards Jisutoreru
256,デュオアーム,
257,スマートアーム,
258,ストレングスハンド,
259,ブートアップアーム,
260,ユウェネスアーム,Brassards Yuenesu
261,欠番,
262,欠番,
263,エアリアルアーム,Brassards Aérien
264,ジストアーム,Brassards Giste
265,欠番,
266,エクストラアーム,
267,ウナペルトアーム,
268,キューラーアーム,Brassards Kyuura
269,欠番,
270,欠番,
271,レックスアーム,Brassards Tigrex
272,レックスガード,Gardes Tigrex
273,レックスＳアーム,Brassards Tigrex S
274,レックスＳガード,Gardes Tigrex S
275,パピメルマーノ,
276,パピメルブラッソ,
277,パピメルＳマーノ,
278,パピメルＳブラッソ,
279,アカムトサクンペ,
280,アカムトノキリペ,
281,ウナペルトＦアーム,
282,あかねこ服Ｆアーム,
283,メルホアラーマ,
284,メルホアＵラーマ,
285,マカルパＵスリーブ,
286,オウビートマーノ,
287,オウビートブラッソ,
288,オウビートＳマーノ,
289,オウビートＳブラッソ,
290,デスギアファオスト,
291,デスギアベギアデ,
292,デスギアＳファオスト,
293,デスギアＳベギアデ,
294,マフモフミトン,
295,マフモフＳミトン,
296,クシャナＦハトゥー,
297,クシャナＦマカーン,
298,カイザーＦアーム,
299,カイザーＦガード,
300,ミヅハ魁【大袖】,
301,トヨタマ魁【大袖】,
302,金剛・魁【篭手】,
303,不動・魁【篭手】,
304,夜叉・魁【御手】,
305,修羅・魁【御手】,
306,エンプレスＦアーム,Brassards Impératrice F
307,エンプレスＦガード,Gardes Impératrice F
308,金色ノ篭手・魁,
309,黒子ノ篭手・魁,
310,ガルルガＦアーム,Brassards Garuga F
311,ガルルガＦガード,Gardes Garuga F
312,クシャナＦハトゥー,
313,クシャナＦマカーン,
314,カイザーＦアーム,
315,カイザーＦガード,
316,ミヅハ魁【大袖】,
317,トヨタマ魁【大袖】,
318,金剛・魁【篭手】,
319,不動・魁【篭手】,
320,夜叉・魁【御手】,
321,修羅・魁【御手】,
322,エンプレスＦアーム,Brassards Impératrice F
323,エンプレスＦガード,Gardes Impératrice F
324,金色ノ篭手・魁,
325,黒子ノ篭手・魁,
326,ガルルガＦアーム,Brassards Garuga F
327,ガルルガＦガード,Gardes Garuga F
328,ラヴァＵアーム,Brassards Lavasioth U
329,ラヴァＵガード,Gardes Lavasioth U
330,ホワイトメタルアーム,Brassards Métal blanc
331,セレストアーム,Brassards Celeste
332,シエルガントレット,
333,コムラダアーム【赤】,Brassards Comrada [赤]
334,コムラダアーム【青】,Brassards Comrada [青]
335,コムラダアーム【緑】,Brassards Comrada [緑]
336,コムラダアーム【橙】,Brassards Comrada [橙]
337,ダミー,
338,ダミー,
339,エスピナファオスト,
340,エスピナベギアデ,
341,エスピナＦファオスト,
342,エスピナＦベギアデ,
343,アスールアーム,Brassards Azul
344,アスールガード,Gardes Azul
345,アメザリアーム,Brassards Amezari
346,アメザリガード,Gardes Amezari
347,プロミスアーム【白】,Brassards Promesse [白]
348,プロミスアーム【青】,Brassards Promesse [青]
349,プロミスアーム【紫】,Brassards Promesse [紫]
350,プロミスアーム【黄】,Brassards Promesse [黄]
351,ブリスアーム【白】,Brassards Félicité [白]
352,ブリスアーム【青】,Brassards Félicité [青]
353,ブリスアーム【紫】,Brassards Félicité [紫]
354,ブリスアーム【黄】,Brassards Félicité [黄]
355,ブリスＦアーム【白】,Brassards Félicité F [白]
356,ブリスＦアーム【青】,Brassards Félicité F [青]
357,ブリスＦアーム【紫】,Brassards Félicité F [紫]
358,ブリスＦアーム【黄】,Brassards Félicité F [黄]
359,ロジウェアアーム,
360,バトルガードSP青,
361,バトルガードSP黄,
362,バトルガードSP紫,
363,レイアアームSP青,
364,レイアアームSP赤,
365,レイアアームSP黒,
366,フルフルアームSP青,
367,フルフルアームSP緑,
368,フルフルアームSP黒,
369,エスピナアームSP赤,
370,エスピナアームSP青,
371,エスピナアームSP黄,
372,エスピナガードSP赤,
373,エスピナガードSP青,
374,エスピナガードSP黄,
375,ノワールアーム,
376,ガーディアームSP白,
377,ガーディアームSP黒,
378,ガーディアームSP紫,
379,ヒーラーカフスSP青,
380,ヒーラーカフスSP白,
381,ヒーラーカフスSP黄,
382,マフモフミトンSP赤,
383,マフモフミトンSP黄,
384,マフモフミトンSP紫,
385,バサルガードSP赤,
386,バサルガードSP黒,
387,バサルガードSP黄,
388,アプカルアーム,Brassards Apkallu
389,アプカルガード,Gardes Apkallu
390,ゴスペルアーム,
391,ゴスペルガード,
392,エスピナＵファオスト,
393,エスピナＵベギアデ,
394,ブランゴアームSP黄,
395,ブランゴアームSP青,
396,ブランゴアームSP黒,
397,金色ノ篭手SP白,
398,金色ノ篭手SP紫,
399,金色ノ篭手SP緑,
400,グラビドガードSP緑,
401,グラビドガードSP紫,
402,グラビドガードSP赤,
403,アクラアーム,Brassards Akura
404,アクラアーム黄,Brassards Akura jaunes
405,アクラアーム蒼,Brassards Akura azur
406,アクラアーム紅,Brassards Akura cramoisis
407,アクラガード,Gardes Akura
408,アクラガード黄,Gardes Akura jaunes
409,アクラガード蒼,Gardes Akura azur
410,アクラガード紅,Gardes Akura cramoisies
411,アクラＦアーム,Brassards Akura F
412,アクラＦアーム黄,Brassards Akura F jaunes
413,アクラＦアーム蒼,Brassards Akura F azur
