index,source,target
0,何も装備していない。,Nothing equipped.
1,軽い素材で作られた頭用装備。{j}使い手を選ばない堅実な{j}作りが安心。,"A piece of light headgear.{j}Sturdy, solid craftsmanship{j}makes it very reliable."
2,鉱石で作られた頭用装備。{j}これまで多くのハンターを{j}守ってきた由緒ある装備。,Headgear made from ore.{j}An item that has protected{j}generations of Hunters.
3,ハンター用に作られた頭用{j}装備。頑丈で通気性も良く{j}多くのハンターが愛用する。,"Headgear made for Hunters.{j}Well-ventilated and strong,{j}many Hunters swear by it."
4,ハンター用に作られた頭用{j}装備。目を覆う部分に{j}スコープを内蔵。,Headgear made for Hunters.{j}The section covering the{j}eyes has a scope built in.
5,モンスターの頭骨をベースに{j}作られた頭用装備。{j}ネイティブな香りが漂う。,Headgear made from a monster{j}skull. It has an ever-so-{j}slight grungy aroma.
6,頭骨になぞの装飾をあしらっ{j}た頭用装備。ここぞという{j}ときに装備したい一着。,"Ideal headgear for a crisis,{j}it features some mysterious{j}decorative features."
7,ランポスの素材で作られた{j}頭用装備。{j}機能面でも実に優秀。,"Headgear made from materials{j}sourced from Velocipreys, it{j}boasts first-class features."
8,ランポスの素材を繋ぎ合わせ{j}て作られた頭用装備。{j}乱戦にも耐えうる防御力。,"Made by combining materials{j}from Velocipreys, this helm{j}can withstand melee combat."
9,ハンター用に作られた頭用{j}装備。かけだしのハンターに{j}は手の届かない品。,Headgear made for Hunters.{j}An item a novice Hunter can{j}only dream of possessing.
10,ハンター用に作られた頭用{j}装備。これを着用することは、{j}一流ハンターの証。,Headgear made for Hunters.{j}Wearing this signifies{j}entry to the Hunter elite.
11,ランゴスタの素材で覆われた{j}頭用装備。火と氷には極端に{j}弱いが、硬い外殻により強固。,Headgear covered in Vespoid{j}materials. Its hard shell is{j}vulnerable to fire and ice.
12,ランゴスタの素材で覆われた{j}頭用装備。元が昆虫の甲殻だ{j}とは信じられないほど。,Headgear covered in Vespoid{j}materials. Hard to believe{j}it has an insectoid source.
13,強固なカンタロスの素材で{j}覆われた頭用装備。その光沢{j}は、金属と見まごうばかり。,"A lustrous, gold-hued helmet{j}encased in rock-hard{j}Hornetaur materials."
14,強固なカンタロスの素材で{j}覆われた頭用装備。龍耐性に{j}特化した貴重な防具。,A special dragon-resistant{j}helm encased in rock-hard{j}Hornetaur materials.
15,貴重な鉱石が主成分の頭用{j}装備。くせがなく手練れの{j}ハンターも愛用する。,A no-frills helm made mainly{j}from precious ore. Well-{j}loved by skilled Hunters.
16,貴重な鉱石が主成分の{j}頭用装備。その質実剛健な{j}美しさに見とれる者も多い。,"Boasting a simple, unadorned{j}beauty, this helm is made{j}chiefly from precious ore."
17,上質なゲネポスの素材で{j}作られた頭用装備。{j}ランポスヘルムの強化型。,This reinforced Velociprey{j}Helm is fashioned from high-{j}end Gendrome materials.
18,ゲネポスの細かい鱗を繋ぎ{j}合わせて作られた頭用装備。{j}高度な技術が用いられている。,A cutting-edge helm made{j}from the fine scales of{j}the Gendrome. 
19,上質なイーオス素材で作られ{j}た頭用装備。ランポス系では{j}最強クラスの防具。,Among the strongest class of{j}Velociprey armor. Made{j}from quality Ioprey items.
20,赤い鱗が美しい防具。{j}厳選したイーオス素材を、繋{j}ぎ合わせて作られた頭用装備。,A stunning red-scaled helm{j}made from specially selected{j}Ioprey-sourced components.
21,ゲリョスの皮で覆われた頭用{j}装備。皮がゴム質のため、{j}物理攻撃には強い。,"Coated in rubbery Gypceros{j}hide, this helm is strong{j}against physical attacks."
22,ゲリョスの皮で覆われた頭用{j}装備。独特の外見には、{j}言い知れぬ威圧感がある。,"Coated in Gypceros hide, its{j}unique appearance imbues it{j}with an ineffable power."
23,ガレオスの素材で作られた{j}頭用装備。大きなヒレの飾り{j}が誇らしげに輝く。,"Crafted from the Cephalos,{j}this headgear boasts a large{j}fin that flashes boldly."
24,ガレオスの素材で作られた{j}頭用装備。ガレオスの鱗に{j}より水耐性が強化されている。,"Crafted from the Cephalos,{j}whose scales boost its{j}water resistance."
25,女王の気品、そして華麗さと{j}力強さ。すべてが凝縮された、{j}美しくも恐るべき頭用装備。,"A regally refined helmet.{j}Captures the very essence of{j}elegance, power, and grace."
26,女王の名を冠する頭用の装備。{j}灼熱の火炎にも焦げ跡ひとつ{j}つかない、まさに芸術品。,A crown fit for royalty.{j}Hell's inferno could not{j}mar its perfect sheen.
27,フルフルの皮で覆われた頭用{j}装備。暗い…。,A stygian helm enveloped{j}in inky Khezu hide.
28,フルフルの皮で覆われた頭用{j}装備。怪しい…。,A forbidding helm enveloped{j}in somber Khezu hide.
29,ハンターにとって、王冠にも{j}等しい意味を持つ頭用の装備。{j}圧倒的な防御力が自慢の逸品。,"To a Hunter, this helm is{j}as treasured as any crown.{j}Offers peerless defense."
30,頭にこの防具を頂くものは、{j}即ち最強のハンターと見なさ{j}れる。全ガンナーの最終目標。,All Snipers dream of the day{j}they can don this helm and{j}join the Hunter elite.
31,ガノトトスの強固な鱗をベー{j}スに、ヒレで装飾された頭用{j}装備。頑丈だが雷に弱い。,A fin-plumed helm made from{j}steely Plesioth scales.{j}Vulnerable only to thunder.
32,ガノトトスの鱗をベースに、{j}ヒレで装飾された頭用装備。{j}水属性攻撃を強力に弾く。,A fin-plumed helm made from{j}Plesioth scales. Fiercely{j}repels water attacks.
33,キングロブスタの殻をベース{j}に、高性能な頭用の装備に{j}仕上げた工房自慢の一品。,"Lovingly crafted, this high-{j}end helm is made from the{j}carapace of a King Lobster."
34,バサルモスの素材で作られた{j}頭用装備。高硬度の素材の{j}加工には、高い技術が必要。,Made from the Basarios.{j}Only true craftsmen can work{j}with this rigid material.
35,バサルモスの素材で作られた{j}頭用装備。照準の合わせやす{j}さも考慮された形状。,Made from the Basarios.{j}Its form makes targeting{j}easier for the wearer.
36,ディアブロスの象徴である{j}角が周囲を威嚇する頭用装備。{j}砂漠の覇者の証でもある。,A helm fit for the ruler of{j}the Desert. The Diablos horn{j}strikes fear into all.
37,角竜を仕留めた者だけが手に{j}できる、勇壮な頭用装備。{j}他の防具とは一線を画す風格。,Only a Diablos slayer can{j}don this majestic helm.{j}In a league of its own.
38,モノブロスの角が見るものを{j}畏怖させる、猛々しい頭装備。{j}これをかぶる者は英雄と同義。,A heroic helm. The Monoblos{j}horn will chill the blood{j}of any who lay eyes on it.
39,モノブロスの素材で作られた{j}頭用装備。格別の重厚感と{j}存在感がある。,"Made of Monoblos materials,{j}this helm has a unique heft{j}and power."
40,グラビモスの素材で作られた{j}頭用装備。岩の如き装甲が{j}モンスターの攻撃を防ぐ。,Made of Gravios materials.{j}Its rock-hard exterior foils{j}monster strikes.
41,グラビモスの素材で作られた{j}頭用装備。身に着けている{j}だけで猛者の証明となる。,Made of Gravios materials.{j}Just wearing it will give{j}you an air of true valor.
42,道場の卒業者に贈られる、{j}魂のこもった頭用装備。{j}教官との毎日がよみがえる。,Given to Dojo graduates so{j}they can relive those happy{j}days with the Instructor.
43,モスの頭部を模した頭用装備。{j}もうモス気分！,A helmet designed to look{j}like a Mosswine head.
44,アイルーの顔を模して作られ{j}たマスク。不気味にカワイイ{j}と評判の逸品。,A much sought-after Felyne{j}mask. It's both cute and{j}a little eerie.
45,混沌を喚ぶと云われるキノコ{j}を模した不思議な帽子。{j}対峙した者は幻覚に襲われる。,An odd hat that looks like a{j}chaos-summoning fungus.{j}Envelops foes in illusions.
46,美しい花びらから作られた{j}頭用装備。しなやかな花弁が{j}優しく頭部を守る。,"Headgear crafted from pretty{j}petals that are supple, and{j}offer good protection."
47,魚鱗から作られた頭部をスッ{j}ポリと覆う頭巾。桜色の美し{j}い鱗には不思議な力がある。,A fishscale hood that covers{j}the head. Its cherry scales{j}possess a curious power.
48,一流のシェフを目指す者が{j}頭にかぶるキッチンでの正装。{j}≪料理は真心≫と刺繍がある。,For those aiming to become{j}top chefs. Has the motto:{j}Live to Eat sewn into it.
49,ランポスの頭部を模した頭用{j}装備。ランポスと心が通う…{j}ような気がする。,Its shape mimics the head of{j}a Velociprey. You'll feel{j}you can commune with it...
50,ゲネポスの頭部を模した頭用{j}装備。{j}ゲネポスの狡猾さが身につく。,Its shape mimics the head of{j}the Genprey. Confers the{j}craftiness of that beast.
