section,index,source,orphan_target
dat/equipment/description,1439,0,Forged in a far-off land.{j}された頭防具。多種多様な狩り{j}に対応している。
dat/equipment/description,1440,0,Forged in a far-off land.{j}された頭防具。多種多様な狩り{j}に対応している。
dat/equipment/description,1568,ダミー,A mask only those with{j}hearts as pure as a clear{j}blue sky can hope to wear.
dat/equipment/description,1804,ダミー,For Hunter Fest winners.{j}Dramatically drops in power{j}after the Prize Fest.
dat/equipment/description,1876,とても高級な素材を使用して{j}制作された頭防具。使用者の{j}動きを力強く支えてくれる。,エルペの素材を使った髪飾り。{j}髪をしなやかにまとめるため、{j}into a hair decoration.
dat/equipment/description,1877,とても高級な素材を使用して{j}制作された頭防具。使用者の{j}動きを力強く支えてくれる。,エルペの素材を使った髪飾り。{j}髪をしなやかにまとめるため、{j}into a hair decoration.
dat/equipment/description,1878,とても高級な素材を使用して{j}制作された頭防具。使用者の{j}動きを力強く支えてくれる。,オルガロンの素材を用いて{j}defensive hair decoration.{j}気持ちが高ぶってくる。
dat/equipment/description,1879,とても高級な素材を使用して{j}制作された頭防具。使用者の{j}動きを力強く支えてくれる。,オルガロンの素材を用いて{j}defensive hair decoration.{j}気持ちが高ぶってくる。
dat/equipment/description,1880,とても高級な素材を使用して{j}制作された頭防具。使用者の{j}動きを力強く支えてくれる。,ラヴィエンテの素材を{j}defensive hair decoration.{j}我慢強くなれる気がする。
dat/equipment/description,1881,とても高級な素材を使用して{j}制作された頭防具。使用者の{j}動きを力強く支えてくれる。,ラヴィエンテの素材を{j}defensive hair decoration.{j}我慢強くなれる気がする。
dat/equipment/description,1990,冒険屋に配置した店番アイルー{j}が体を張り、手に入れた素材で{j}生産が可能となった頭用装備。,しなやかな響狼の雰囲気を{j}そのままに表現した頭防具。{j}{c07}SP Armor: Red{/c}
dat/equipment/description,1991,採集を極め、さらなる高みへ{j}到達したハンターだけが装備{j}できる頭防具。至高の逸品。,しなやかな響狼の雰囲気を{j}そのままに表現した頭防具。{j}{c07}SP Armor: Black{/c}
dat/equipment/description,1992,採集を極め、さらなる高みへ{j}到達したハンターだけが装備{j}できる頭防具。至高の逸品。,しなやかな響狼の雰囲気を{j}そのままに表現した頭防具。{j}{c07}SP Armor: Purple{/c}
dat/equipment/description,1993,呑竜素材のヌメリを丹念に{j}取り除き特殊な加工を施す{j}ことで誕生した優秀な頭防具。,不思議な力を与えるという{j}響狼素材を使った頭防具。{j}{c07}SP Armor: Red{/c}
dat/equipment/description,1994,加工に手間のかかる呑竜素材を{j}大量に用いた頭防具。注文の{j}際に嫌な顔をされることも…。,不思議な力を与えるという{j}響狼素材を使った頭防具。{j}{c07}SP Armor: Black{/c}
dat/equipment/description,1995,蛮竜素材の頭防具。装備する{j}者の闘志を奮い立たせ、対峙{j}する者に鋭い威圧感を与える。,不思議な力を与えるという{j}響狼素材を使った頭防具。{j}{c07}SP Armor: Purple{/c}
dat/equipment/description,1996,蛮竜素材の頭防具。装備する{j}者の闘志を奮い立たせ、対峙{j}する者に鋭い威圧感を与える。,モスの頭部を模した頭防具。{j}いつでもどこでもモス気分！{j}{c07}SP Armor: White{/c}
dat/equipment/description,1997,火の力を秘めた攻撃に対する{j}耐性を備えた特殊なピアス。,モスの頭部を模した頭防具。{j}いつでもどこでもモス気分！{j}{c07}SP Armor: Yellow{/c}
dat/equipment/description,2331,神秘的な力を宿したピアス。{j}ハンターの潜在能力を引き{j}出す。,Hypnocatrice headgear.{j}用装備。眠鳥の威圧感を持つ。{j}{c07}SP Armor: Green{/c}
