jp,fr,occurrences,has_var,en_hint
"マイトレプーギー服の装飾品。
一部の服には装備できない。",,2025,yes,"Decoration for Hunter Haven
Poogie outfits. Cannot be
attached to some outfits."
"Ｇ級防具を精錬することで
作られた装飾品。","Joyau créé en raffinant
une armure de rang G.",1952,,
"マイトレプーギー服の装飾品。
全ての服に装備可能。",,1146,yes,"Decoration for Hunter Haven
Poogie outfits. Can be
attached to all outfits."
ダミー,,584,yes,
"パートニャー専用の装飾品。
全ての武具に装着可能。",,453,yes,
"特殊な性質を持った稀少な
紙で作られたチケット。
特別な品と交換できる。",,217,yes,"A ticket made of special
rare paper. Can be exchanged
for something unique."
"天廊武器に新たなスキルを
付与できる秘石。
{c05}（天廊武器専用）",,173,yes,
Z3P_装飾品・カフ使用予定枠,,150,yes,
"マイトレプーギー服の特別な
装飾品。全ての服に装備可能。",,140,yes,
dummy,,137,,
"ＳＰ装備にのみ装着が可能。
スキル値の高いＳＰ装飾品。",,130,yes,
"スキル組み合わせの深い世界
を好む玄人向けの高級装飾品。",,116,yes,
"マイトレプーギー服の装飾品
を生産するのに必要な素材。
工房に持って行こう！",,101,yes,"Required for making Poogie
outfit decorations.
Take it to the Smithy!"
"装飾品の素材として
かかせない珠。
非常に希少価値の高い逸品。","Perle indispensable à la
fabrication des joyaux.
D'une très grande rareté.",97,,
"祈歌に共鳴して硬度を
増す不思議な石。
透き通った色をしている。","Pierre mystérieuse qui durcit
au contact du chant sacré.
Sa teinte est translucide.",64,,
"パートニャーの装飾品を
生産するのに必要な素材。
工房に持って行こう！",,50,yes,
Z3P_アイテム使用予定枠,,46,yes,
"不思議な性質を持った
紙で作られたチケット。
特別な品と交換できる。",,40,yes,"A ticket made from some
weird paper. Can be swapped
for something special."
"人の頭では辿り着けない着想。
自然の声に耳を傾けることで、
見えてくるものがある。","Une idée hors de portée de
l'esprit humain. Écoute la voix
de la nature pour l'entrevoir.",32,,
"狩りの間中、特殊な能力が
持続する。力尽きても効果は
持続。ただし効果は一つだけ。","Confère un pouvoir spécial
durant toute la chasse, même
K.O. Un seul effet à la fois.",31,,
"過酷な狩猟を達成した者だけ
が得ることのできる、勇猛な
ハンターの証。",,30,yes,"Only given to brave Hunters
who've proven they can
survive the toughest trials."
"火の力を秘めていると伝えら
れる鉱石。見る角度によって、
微妙に色を変えるという。","Minerai qui recèlerait la
puissance du feu. Sa couleur
varie selon l'angle de vue.",30,,"An ore said to contain the
power of flame. Its color
changes as it moves."
"過酷な環境に自生するという
生命力の強い植物。強靭な
繊維が優れた武具を生み出す。","Plante robuste poussant en
milieu hostile. Ses fibres
donnent un équipement solide.",27,,
ダミー。,,26,yes,Dummy.
"武器に特殊な効果を
付与する印。
{c05}（天廊武器専用）","Sceau conférant un effet
spécial à une arme.
{c05}(Armes du Couloir céleste)",26,,
"『宮下Ｐの挑戦状』の解答券。
「売ったり捨てたりせずに、
大事にとっといてね＾−＾」",,24,,
"攻撃と保護系スキルが
アップするＧ級装飾品。",,23,yes,
"ＳＳＦ賙シリーズの
生産方法が記された紙。
工房に持って行こう！",,20,yes,"Instructions for making
SSFIV Series armor.
Take them to the Smithy!"
"Ｇ級の参加者のみ手にできる
といわれている希少岩。
より強固な武具を生産できる。","Roche rare réservée aux
chasseurs de rang G. Permet
un équipement plus résistant.",20,,
